Name,Good,Bad
Ht.kz,0,1
Ht.kz,0,0
Ht.kz,0,0
Ht.kz,0,0
Поедем!,6,3
Казтур,16,5
Адонис Тур,1,3
Traveler.kz,1,0
Триумф travel,0,0
Астана,1,5
Мир на ладони,1,0
Nurly travel,1,0
Амирас,1,1
Жазира-Travel,0,1
Вокруг света,0,0
Казтур aф,0,1
Скоро отпуск,1,1
Astana best travel,0,0
Центр Тур,0,0
Transavia,3,8
Аманат-Тур,0,0
Гульнар Тур,6,73
Кочевник,0,0
Музенидис трэвел,1,0
Оазис -1,0,0
Сомал-Тур.kz,0,1
Alesta tour service,1,0
Astana travel,0,0
Avangard-Travel,0,0
Bon voyage travel center,0,0
Bounty,0,0
Exclusive tour,0,0
International travel plus,0,0
New travel 7,0,2
Nur Ai & Co,3,0
Peritravel,0,0
Zhantour,0,0
Азат travel,0,0
Альбатрос тур-НС,0,0
Аса Тур компани,0,0
Астана-Вояж,0,1
Балу туризм,0,0
Вокруг света,0,0
Вокруг света,0,1
Вэй трэвел НС,0,1
Дельфин Тур,0,0
ДеМирТур,0,0
Ел Тур,1,0
Есiл-Тур,0,0
Жибек жолы-АП,0,0
Ht.kz,0,0
Ht.kz,0,0
Ht.kz,0,0
Ht.kz,0,0
Ht.kz,0,0
Ht.kz,0,0
Chocotravel.com,6,12
Alliance Asia Group,22,14
Fun&sun,6,0
Поехали с нами,3,0
Fun&sun,7,0
Казтур,8,1
Gotour,8,0
Анекс Тур,1,0
Гиацинт тур-агентство,0,0
Бласт Тур,1,0
Гульнар Тур,6,73
Иман travel Тур,0,0
Поедем!,17,6
Avenue travel,0,0
Orange tour,0,0
Travel bank,10,4
Жана Нур,0,0
Роза Ветров,3,1
Травел экспресс,1,1
Чемодан,6,4
Bell company,0,1
Daktsin tour,1,0
Life in Travel,1,0
Nur Ai & Co,3,0
Outlook,0,0
Pro-Agent,17,2
Today.travel,0,0
Арт-Азия туризм,0,0
Аспан line,0,0
Глобус,0,0
Интурист,4,4
Иформационный центр города алматы по туризму,0,0
Отрар тревел,15,5
Тау-Комек,0,0
Фараб международное агентство по туризму,6,0
Феникс,0,0
Элита-Тур,0,0
123Travel.kz,0,0
Akvilon travel,0,0
Alex tour,0,0
All inclusive tour,0,0
Alliance tour,0,0
Asia discovery,0,0
Astana tour,0,0
Ht.kz,0,0
Ht.kz,0,0
Саяхат,1,0
Поехали с нами,0,0
Asia business travel,1,0
Loca tours,0,0
Travelland,0,0
Отрар тревел,15,5
Шымкенттурист,0,2
Tourhouse.kz,0,0
Азия Вояж сервис,0,1
Вокруг света,0,0
Эдем-Тур,0,0
Abdi travel,1,0
Berkut-Tour,0,0
No Visa,1,0
Nur ai & co,3,0
Shymtour,0,0
Silk tour,0,1
Алина Тур,0,0
Аманатмиг,0,0
Ата,0,0
Гер-Тур,0,0
Гульнар Тур,6,73
Диана,0,0
Куаныш,0,0
Рио,0,0
Сат,0,0
Травел экспресс,1,1
Туркестан Элит Тур,0,0
Avia-Line,5,1
Aydana tour,1,1
Diallan tour,3,1
Fantasy travel,0,0
Fun&sun,0,0
Karavan tour,0,0
Kaztour,0,0
Kaztour,0,0
Kztour,0,0
Safina tour,0,0
Sayatravel,0,0
Silk Ring Travel,0,0
Transavia,3,8
Travel system,1,0
Vip travel tour,1,0
Vleto travel,0,0
Zhana-Talap-Group,0,0
